Task,Task_Number,Task_Type,Answer_Out,Solution,Correct,Time,TimeOut,Correct_Only_Time,SubjectID,TaskBase,min,max,Normalized_Time,Time_Score
Task1CM,1,CM,5,5,True,161.778,False,161.778,615db7bf-3727-4ad8-a57f-4b18d9d94739,Task1,25.049,430.619,0.33712799270162974,0.6628720072983703
Task1CM,1,CM,5,5,True,121.053,False,121.053,f9ec2bc7-062a-49b5-9a15-8a0d6b5e18de,Task1,25.049,430.619,0.23671376087974944,0.7632862391202506
Task1CM,1,CM,6,5,False,309.727,True,0.0,dac593bd-1be4-425d-b1c9-3706b5a3f56f,Task1,25.049,430.619,0.7019207535074092,0.29807924649259077
Task1CM,1,CM,5,5,True,134.859,False,134.859,b1c5e27d-dd98-491a-9641-eba35a06c659,Task1,25.049,430.619,0.2707547402421283,0.7292452597578717
Task1CM,1,CM,5,5,True,310.073,True,310.073,967a04d0-ff4d-43e7-b0df-c8a8ac083141,Task1,25.049,430.619,0.7027738738072342,0.2972261261927658
Task1CM,1,CM,5,5,True,186.219,False,186.219,66b337a9-fadd-45fe-ad28-c77543f6630f,Task1,25.049,430.619,0.3973913257883965,0.6026086742116035
Task1CM,1,CM,5,5,True,253.979,False,253.979,45c939e2-e7fc-4728-b3e9-b2ed5380a6cd,Task1,25.049,430.619,0.5644648272801243,0.43553517271987574
Task1CM,1,CM,6,5,False,25.049,False,0.0,ba88bf04-ee4f-4e6f-8e5a-3c5e62ff5657,Task1,25.049,430.619,0.0,1.0
Task1CM,1,CM,5,5,True,196.752,False,196.752,782b7c64-dfa7-4184-8205-a06d6c33efde,Task1,25.049,430.619,0.42336218162092853,0.5766378183790715
Task1CM,1,CM,4,5,False,209.174,False,0.0,4d750b0b-717b-4190-a74f-e8c6189a082f,Task1,25.049,430.619,0.45399067978400764,0.5460093202159924
Task1CP,1,CP,6,5,False,164.229,False,0.0,1ce913d5-069e-4146-9f00-0e5864133078,Task1,25.049,430.619,0.3431713391029908,0.6568286608970092
Task1CP,1,CP,5,5,True,306.72,True,306.72,9679a6e6-f970-447c-802a-86f7f518f29c,Task1,25.049,430.619,0.694506497028873,0.305493502971127
Task1CP,1,CP,5,5,True,307.774,True,307.774,625d844e-747c-410e-a5d3-ed058832d3bc,Task1,25.049,430.619,0.6971053085780506,0.30289469142194936
Task1CP,1,CP,6,5,False,430.619,False,0.0,1de0f518-4e16-4de9-8219-d710cf64b71f,Task1,25.049,430.619,1.0,0.0
Task1CP,1,CP,4,5,False,281.457,False,0.0,1d1071e4-7420-4ae4-b761-89c85bf3ab57,Task1,25.049,430.619,0.6322163868136202,0.36778361318637975
Task1CP,1,CP,4,5,False,264.806,False,0.0,cb039d67-cebf-4750-8d66-55e7a5ca9e1b,Task1,25.049,430.619,0.5911605888009467,0.4088394111990533
Task1CP,1,CP,4,5,False,209.898,False,0.0,5e4ae544-c0e0-434a-b361-f1bb9399dcb0,Task1,25.049,430.619,0.45577582168306324,0.5442241783169368
Task1CP,1,CP,5,5,True,214.752,False,214.752,dfab1ede-3be6-4858-8d67-0003b2a071a8,Task1,25.049,430.619,0.4677441625366767,0.5322558374633233
Task1CP,1,CP,4,5,False,306.195,True,0.0,9a43cae5-66ad-46b5-8c39-8a42777c4ac7,Task1,25.049,430.619,0.6932120225854969,0.30678797741450314
Task1CP,1,CP,6,5,False,230.889,False,0.0,66310afd-d49f-428c-88c0-3f9ff2788f4d,Task1,25.049,430.619,0.507532608427645,0.492467391572355
Task2CM,2,CM,"[8, 6, 1, 5, 7, 9, 3]","[9, 1]",False,251.226,False,0.0,615db7bf-3727-4ad8-a57f-4b18d9d94739,Task2,52.055,385.191,0.5978669372268384,0.40213306277316163
Task2CM,2,CM,"[9, 1]","[9, 1]",True,122.911,False,122.911,f9ec2bc7-062a-49b5-9a15-8a0d6b5e18de,Task2,52.055,385.191,0.21269391479756017,0.7873060852024398
Task2CM,2,CM,"[9, 1]","[9, 1]",True,385.191,True,385.191,dac593bd-1be4-425d-b1c9-3706b5a3f56f,Task2,52.055,385.191,1.0,0.0
Task2CM,2,CM,"[9, 1]","[9, 1]",True,150.213,False,150.213,b1c5e27d-dd98-491a-9641-eba35a06c659,Task2,52.055,385.191,0.294648431871668,0.705351568128332
Task2CM,2,CM,"[9, 1, 3, 7]","[9, 1]",False,307.168,True,0.0,967a04d0-ff4d-43e7-b0df-c8a8ac083141,Task2,52.055,385.191,0.7657923490706499,0.23420765092935014
Task2CM,2,CM,"[9, 1]","[9, 1]",True,203.582,False,203.582,66b337a9-fadd-45fe-ad28-c77543f6630f,Task2,52.055,385.191,0.4548502713606455,0.5451497286393545
Task2CM,2,CM,"[9, 1]","[9, 1]",True,52.055,False,52.055,45c939e2-e7fc-4728-b3e9-b2ed5380a6cd,Task2,52.055,385.191,0.0,1.0
