Number;Task;Answer_Out;Time;TimeOut;SubjectID
0;WarmUp;TRUE;60636;FALSE;1ce913d5-069e-4146-9f00-0e5864133078
1;Task9CM;[2, 3, 5, 7, 11, 13, 17];255568;FALSE;1ce913d5-069e-4146-9f00-0e5864133078
2;Task11CM;3;285329;FALSE;1ce913d5-069e-4146-9f00-0e5864133078
3;Task5CP;3;182050;FALSE;1ce913d5-069e-4146-9f00-0e5864133078
4;Task12CM;TRUE;42769;FALSE;1ce913d5-069e-4146-9f00-0e5864133078
5;Task7CM;656;121759;FALSE;1ce913d5-069e-4146-9f00-0e5864133078
6;Task3CP;3;100211;FALSE;1ce913d5-069e-4146-9f00-0e5864133078
7;Task8CM;8;156751;FALSE;1ce913d5-069e-4146-9f00-0e5864133078
8;Task2CP;[9, 1];160968;FALSE;1ce913d5-069e-4146-9f00-0e5864133078
9;Task4CP;5;84768;FALSE;1ce913d5-069e-4146-9f00-0e5864133078
10;Task6CP;3;86704;FALSE;1ce913d5-069e-4146-9f00-0e5864133078
11;Task1CP;6;164229;FALSE;1ce913d5-069e-4146-9f00-0e5864133078
12;Task10CM;7;58202;FALSE;1ce913d5-069e-4146-9f00-0e5864133078
