Number;Task;Answer_Out;Time;TimeOut;SubjectID
0;WarmUp;FALSE;80927;FALSE;1d1071e4-7420-4ae4-b761-89c85bf3ab57
1;Task5CP;3;304576;TRUE;1d1071e4-7420-4ae4-b761-89c85bf3ab57
2;Task12CM;TRUE;93043;FALSE;1d1071e4-7420-4ae4-b761-89c85bf3ab57
3;Task6CP;3;303822;TRUE;1d1071e4-7420-4ae4-b761-89c85bf3ab57
4;Task1CP;4;281457;FALSE;1d1071e4-7420-4ae4-b761-89c85bf3ab57
5;Task9CM;[2, 3, 4];222933;FALSE;1d1071e4-7420-4ae4-b761-89c85bf3ab57
6;Task11CM;0;221159;FALSE;1d1071e4-7420-4ae4-b761-89c85bf3ab57
7;Task3CP;2;291621;FALSE;1d1071e4-7420-4ae4-b761-89c85bf3ab57
8;Task10CM;7;243556;FALSE;1d1071e4-7420-4ae4-b761-89c85bf3ab57
9;Task7CM;64;167419;FALSE;1d1071e4-7420-4ae4-b761-89c85bf3ab57
10;Task4CP;1;303892;TRUE;1d1071e4-7420-4ae4-b761-89c85bf3ab57
11;Task2CP;[9, 1];186115;FALSE;1d1071e4-7420-4ae4-b761-89c85bf3ab57
12;Task8CM;8;267552;FALSE;1d1071e4-7420-4ae4-b761-89c85bf3ab57
