Number;Task;Answer_Out;Time;TimeOut;SubjectID
0;WarmUp;TRUE;135930;FALSE;1de0f518-4e16-4de9-8219-d710cf64b71f
1;Task12CM;FALSE;72193;FALSE;1de0f518-4e16-4de9-8219-d710cf64b71f
2;Task2CP;[8, 6, 1, 5, 7, 9, 3];329682;FALSE;1de0f518-4e16-4de9-8219-d710cf64b71f
3;Task10CM;-1;265146;FALSE;1de0f518-4e16-4de9-8219-d710cf64b71f
4;Task6CP;8;256213;FALSE;1de0f518-4e16-4de9-8219-d710cf64b71f
5;Task3CP;0;400486;TRUE;1de0f518-4e16-4de9-8219-d710cf64b71f
6;Task1CP;6;430619;FALSE;1de0f518-4e16-4de9-8219-d710cf64b71f
7;Task11CM;1;233774;FALSE;1de0f518-4e16-4de9-8219-d710cf64b71f
8;Task4CP;3;376986;FALSE;1de0f518-4e16-4de9-8219-d710cf64b71f
9;Task7CM;1024;290084;FALSE;1de0f518-4e16-4de9-8219-d710cf64b71f
10;Task5CP;I don't know;492695;FALSE;1de0f518-4e16-4de9-8219-d710cf64b71f
11;Task8CM;13;205766;FALSE;1de0f518-4e16-4de9-8219-d710cf64b71f
12;Task9CM;[2, 3];601096;TRUE;1de0f518-4e16-4de9-8219-d710cf64b71f
