Number;Task;Answer_Out;Time;TimeOut;SubjectID
0;WarmUp;5;42283;FALSE;4d750b0b-717b-4190-a74f-e8c6189a082f
1;Task8CP;13;95507;FALSE;4d750b0b-717b-4190-a74f-e8c6189a082f
2;Task10CP;7;238535;FALSE;4d750b0b-717b-4190-a74f-e8c6189a082f
3;Task2CM;[];278376;FALSE;4d750b0b-717b-4190-a74f-e8c6189a082f
4;Task1CM;4;209174;FALSE;4d750b0b-717b-4190-a74f-e8c6189a082f
5;Task5CM;1;306749;TRUE;4d750b0b-717b-4190-a74f-e8c6189a082f
6;Task3CM;4;243335;FALSE;4d750b0b-717b-4190-a74f-e8c6189a082f
7;Task12CP;TRUE;21336;FALSE;4d750b0b-717b-4190-a74f-e8c6189a082f
8;Task9CP;[2, 3, 5, 7, 11, 13, 17];153637;FALSE;4d750b0b-717b-4190-a74f-e8c6189a082f
9;Task11CP;2;46933;FALSE;4d750b0b-717b-4190-a74f-e8c6189a082f
10;Task7CP;4;140451;FALSE;4d750b0b-717b-4190-a74f-e8c6189a082f
11;Task6CM;6;396754;TRUE;4d750b0b-717b-4190-a74f-e8c6189a082f
12;Task4CM;5;174622;FALSE;4d750b0b-717b-4190-a74f-e8c6189a082f
