Number;Task;Answer_Out;Time;TimeOut;SubjectID
0;WarmUp;TRUE;89614;False;5e4ae544-c0e0-434a-b361-f1bb9399dcb0
1;Task9CM;TRUE;260081;False;5e4ae544-c0e0-434a-b361-f1bb9399dcb0
2;Task6CP;3;281206;False;5e4ae544-c0e0-434a-b361-f1bb9399dcb0
3;Task11CM;2;317341;False;5e4ae544-c0e0-434a-b361-f1bb9399dcb0
4;Task8CM;13;239849;False;5e4ae544-c0e0-434a-b361-f1bb9399dcb0
5;Task3CP;4;305422;True;5e4ae544-c0e0-434a-b361-f1bb9399dcb0
6;Task7CM;1;80140;False;5e4ae544-c0e0-434a-b361-f1bb9399dcb0
7;Task5CP;1;285529;False;5e4ae544-c0e0-434a-b361-f1bb9399dcb0
8;Task12CM;TRUE;101713;False;5e4ae544-c0e0-434a-b361-f1bb9399dcb0
9;Task10CM;7;172037;False;5e4ae544-c0e0-434a-b361-f1bb9399dcb0
10;Task1CP;4;209898;False;5e4ae544-c0e0-434a-b361-f1bb9399dcb0
11;Task4CP;0;182439;False;5e4ae544-c0e0-434a-b361-f1bb9399dcb0
12;Task2CP;2;251206;False;5e4ae544-c0e0-434a-b361-f1bb9399dcb0

