Number;Task;Answer_Out;Time;TimeOut;SubjectID
0;WarmUp;TRUE;69617;FALSE;615db7bf-3727-4ad8-a57f-4b18d9d94739
1;Task6CM;101;204353;FALSE;615db7bf-3727-4ad8-a57f-4b18d9d94739
2;Task10CP;7;214915;FALSE;615db7bf-3727-4ad8-a57f-4b18d9d94739
3;Task2CM;[8, 6, 1, 5, 7, 9, 3];251226;FALSE;615db7bf-3727-4ad8-a57f-4b18d9d94739
4;Task12CP;TRUE;151005;FALSE;615db7bf-3727-4ad8-a57f-4b18d9d94739
5;Task8CP;7;243536;FALSE;615db7bf-3727-4ad8-a57f-4b18d9d94739
6;Task1CM;5;161778;FALSE;615db7bf-3727-4ad8-a57f-4b18d9d94739
7;Task11CP;2;154299;FALSE;615db7bf-3727-4ad8-a57f-4b18d9d94739
8;Task3CM;10;320501;TRUE;615db7bf-3727-4ad8-a57f-4b18d9d94739
9;Task9CP;[2, 3, 5, 7, 11, 13, 17];287749;FALSE;615db7bf-3727-4ad8-a57f-4b18d9d94739
10;Task4CM;3;306141;TRUE;615db7bf-3727-4ad8-a57f-4b18d9d94739
11;Task5CM;1;213158;FALSE;615db7bf-3727-4ad8-a57f-4b18d9d94739
12;Task7CP;4;217533;FALSE;615db7bf-3727-4ad8-a57f-4b18d9d94739
