Number;Task;Answer_Out;Time;TimeOut;SubjectID
0;WarmUp;TRUE;39987;FALSE;625d844e-747c-410e-a5d3-ed058832d3bc
1;Task10CM;7;131614;FALSE;625d844e-747c-410e-a5d3-ed058832d3bc
2;Task1CP;5;307774;TRUE;625d844e-747c-410e-a5d3-ed058832d3bc
3;Task4CP;5;231314;FALSE;625d844e-747c-410e-a5d3-ed058832d3bc
4;Task3CP;5;304823;TRUE;625d844e-747c-410e-a5d3-ed058832d3bc
5;Task12CM;TRUE;64150;FALSE;625d844e-747c-410e-a5d3-ed058832d3bc
6;Task8CM;13;290579;FALSE;625d844e-747c-410e-a5d3-ed058832d3bc
7;Task9CM;[2, 3, 5, 7, 11, 13, 17];385421;TRUE;625d844e-747c-410e-a5d3-ed058832d3bc
8;Task2CP;[9, 1];235357;FALSE;625d844e-747c-410e-a5d3-ed058832d3bc
9;Task6CP;4;304064;TRUE;625d844e-747c-410e-a5d3-ed058832d3bc
10;Task5CP;3;225202;FALSE;625d844e-747c-410e-a5d3-ed058832d3bc
11;Task11CM;4;303650;TRUE;625d844e-747c-410e-a5d3-ed058832d3bc
12;Task7CM;1024;303810;TRUE;625d844e-747c-410e-a5d3-ed058832d3bc
