Number;Task;Answer_Out;Time;TimeOut;SubjectID
0;WarmUp;TRUE;110511;FALSE;66310afd-d49f-428c-88c0-3f9ff2788f4d
1;Task1CP;6;230889;FALSE;66310afd-d49f-428c-88c0-3f9ff2788f4d
2;Task4CP;100;311419;TRUE;66310afd-d49f-428c-88c0-3f9ff2788f4d
3;Task5CP;3;683428;FALSE;66310afd-d49f-428c-88c0-3f9ff2788f4d
4;Task9CM;[2, 3, 5, 7, 11, 13, 17];397263;FALSE;66310afd-d49f-428c-88c0-3f9ff2788f4d
5;Task2CP;[9, 1];367499;FALSE;66310afd-d49f-428c-88c0-3f9ff2788f4d
6;Task12CM;TRUE;64562;FALSE;66310afd-d49f-428c-88c0-3f9ff2788f4d
7;Task7CM;1024;334049;FALSE;66310afd-d49f-428c-88c0-3f9ff2788f4d
8;Task6CP;4;414113;FALSE;66310afd-d49f-428c-88c0-3f9ff2788f4d
9;Task11CM;6;520259;FALSE;66310afd-d49f-428c-88c0-3f9ff2788f4d
10;Task3CP;5;406343;FALSE;66310afd-d49f-428c-88c0-3f9ff2788f4d
11;Task10CM;7;225324;FALSE;66310afd-d49f-428c-88c0-3f9ff2788f4d
12;Task8CM;13;339481;FALSE;66310afd-d49f-428c-88c0-3f9ff2788f4d
