Number;Task;Answer_Out;Time;TimeOut;SubjectID
0;WarmUp;TRUE;51043;FALSE;66b337a9-fadd-45fe-ad28-c77543f6630f
1;Task3CM;15;292204;FALSE;66b337a9-fadd-45fe-ad28-c77543f6630f
2;Task11CP;2;289691;FALSE;66b337a9-fadd-45fe-ad28-c77543f6630f
3;Task1CM;5;186219;FALSE;66b337a9-fadd-45fe-ad28-c77543f6630f
4;Task12CP;TRUE;61170;FALSE;66b337a9-fadd-45fe-ad28-c77543f6630f
5;Task6CM;6;338838;FALSE;66b337a9-fadd-45fe-ad28-c77543f6630f
6;Task2CM;[9, 1];203582;FALSE;66b337a9-fadd-45fe-ad28-c77543f6630f
7;Task9CP;[2, 3, 5, 7, 11, 13, 17];180656;FALSE;66b337a9-fadd-45fe-ad28-c77543f6630f
8;Task5CM;1;313984;FALSE;66b337a9-fadd-45fe-ad28-c77543f6630f
9;Task4CM;2;158050;FALSE;66b337a9-fadd-45fe-ad28-c77543f6630f
10;Task10CP;7;101982;FALSE;66b337a9-fadd-45fe-ad28-c77543f6630f
11;Task7CP;1024;300388;FALSE;66b337a9-fadd-45fe-ad28-c77543f6630f
12;Task8CP;13;111998;FALSE;66b337a9-fadd-45fe-ad28-c77543f6630f
