Number;Task;Answer_Out;Time;TimeOut;SubjectID
0;WarmUp;TRUE;78671;FALSE;782b7c64-dfa7-4184-8205-a06d6c33efde
1;Task11CP;8;296329;FALSE;782b7c64-dfa7-4184-8205-a06d6c33efde
2;Task1CM;5;196752;FALSE;782b7c64-dfa7-4184-8205-a06d6c33efde
3;Task8CP;13;206230;FALSE;782b7c64-dfa7-4184-8205-a06d6c33efde
4;Task4CM;4;274599;FALSE;782b7c64-dfa7-4184-8205-a06d6c33efde
5;Task12CP;TRUE;58298;FALSE;782b7c64-dfa7-4184-8205-a06d6c33efde
6;Task7CP;64;205135;FALSE;782b7c64-dfa7-4184-8205-a06d6c33efde
7;Task10CP;7;104451;FALSE;782b7c64-dfa7-4184-8205-a06d6c33efde
8;Task3CM;5;236113;FALSE;782b7c64-dfa7-4184-8205-a06d6c33efde
9;Task6CM;7;294906;FALSE;782b7c64-dfa7-4184-8205-a06d6c33efde
10;Task2CM;[9, 1];191913;FALSE;782b7c64-dfa7-4184-8205-a06d6c33efde
11;Task9CP;[2, 3, 5, 7, 11, 13, 17];133393;FALSE;782b7c64-dfa7-4184-8205-a06d6c33efde
12;Task5CM;dont know;303051;TRUE;782b7c64-dfa7-4184-8205-a06d6c33efde
