Number;Task;Answer_Out;Time;TimeOut;SubjectID
0;WarmUp;TRUE;68800;FALSE;9679a6e6-f970-447c-802a-86f7f518f29c
1;Task1CP;5;306720;TRUE;9679a6e6-f970-447c-802a-86f7f518f29c
2;Task11CM;1;162500;FALSE;9679a6e6-f970-447c-802a-86f7f518f29c
3;Task7CM;256;187397;FALSE;9679a6e6-f970-447c-802a-86f7f518f29c
4;Task8CM;13;107860;FALSE;9679a6e6-f970-447c-802a-86f7f518f29c
5;Task9CM;[2, 3, 5, 7, 11, 13, 17];355909;FALSE;9679a6e6-f970-447c-802a-86f7f518f29c
6;Task4CP;5;131660;FALSE;9679a6e6-f970-447c-802a-86f7f518f29c
7;Task10CM;7;114924;FALSE;9679a6e6-f970-447c-802a-86f7f518f29c
8;Task12CM;TRUE;45255;FALSE;9679a6e6-f970-447c-802a-86f7f518f29c
9;Task5CP;3;370498;FALSE;9679a6e6-f970-447c-802a-86f7f518f29c
10;Task2CP;[9, 1];92315;FALSE;9679a6e6-f970-447c-802a-86f7f518f29c
11;Task3CP;5;288608;FALSE;9679a6e6-f970-447c-802a-86f7f518f29c
12;Task6CP;4;348776;FALSE;9679a6e6-f970-447c-802a-86f7f518f29c
