Number;Task;Answer_Out;Time;TimeOut;SubjectID
0;WarmUp;TRUE;68670;FALSE;967a04d0-ff4d-43e7-b0df-c8a8ac083141
1;Task2CM;[9, 1, 3, 7];307168;TRUE;967a04d0-ff4d-43e7-b0df-c8a8ac083141
2;Task6CM;5;304377;TRUE;967a04d0-ff4d-43e7-b0df-c8a8ac083141
3;Task7CP;32;318843;TRUE;967a04d0-ff4d-43e7-b0df-c8a8ac083141
4;Task12CP;TRUE;113001;FALSE;967a04d0-ff4d-43e7-b0df-c8a8ac083141
5;Task9CP;[2, 3, 5, 7, 11, 13, 17];244807;FALSE;967a04d0-ff4d-43e7-b0df-c8a8ac083141
6;Task10CP;7;205650;FALSE;967a04d0-ff4d-43e7-b0df-c8a8ac083141
7;Task4CM;5;306464;TRUE;967a04d0-ff4d-43e7-b0df-c8a8ac083141
8;Task3CM;5;321046;TRUE;967a04d0-ff4d-43e7-b0df-c8a8ac083141
9;Task5CM;3;303219;FALSE;967a04d0-ff4d-43e7-b0df-c8a8ac083141
10;Task8CP;8;244100;FALSE;967a04d0-ff4d-43e7-b0df-c8a8ac083141
11;Task1CM;5;310073;TRUE;967a04d0-ff4d-43e7-b0df-c8a8ac083141
12;Task11CP;4;272509;FALSE;967a04d0-ff4d-43e7-b0df-c8a8ac083141
