Number;Task;Answer_Out;Time;TimeOut;SubjectID
0;WarmUp;TRUE;85733;FALSE;9a43cae5-66ad-46b5-8c39-8a42777c4ac7
1;Task5CP;3;271698;FALSE;9a43cae5-66ad-46b5-8c39-8a42777c4ac7
2;Task11CM;5;310625;TRUE;9a43cae5-66ad-46b5-8c39-8a42777c4ac7
3;Task10CM;7;192014;FALSE;9a43cae5-66ad-46b5-8c39-8a42777c4ac7
4;Task8CM;21;294227;FALSE;9a43cae5-66ad-46b5-8c39-8a42777c4ac7
5;Task4CP;5;312426;TRUE;9a43cae5-66ad-46b5-8c39-8a42777c4ac7
6;Task2CP;[];237623;FALSE;9a43cae5-66ad-46b5-8c39-8a42777c4ac7
7;Task1CP;4;306195;TRUE;9a43cae5-66ad-46b5-8c39-8a42777c4ac7
8;Task6CP;101;317124;TRUE;9a43cae5-66ad-46b5-8c39-8a42777c4ac7
9;Task3CP;4;225243;FALSE;9a43cae5-66ad-46b5-8c39-8a42777c4ac7
10;Task7CM;1024;284123;FALSE;9a43cae5-66ad-46b5-8c39-8a42777c4ac7
11;Task12CM;TRUE;52779;FALSE;9a43cae5-66ad-46b5-8c39-8a42777c4ac7
12;Task9CM;[2, 3, 5, 7, 11, 13, 17];312738;TRUE;9a43cae5-66ad-46b5-8c39-8a42777c4ac7
