Number;Task;Answer_Out;Time;TimeOut;SubjectID
0;WarmUp;TRUE;99217;FALSE;b1c5e27d-dd98-491a-9641-eba35a06c659
1;Task12CP;TRUE;108964;FALSE;b1c5e27d-dd98-491a-9641-eba35a06c659
2;Task8CP;13;182373;FALSE;b1c5e27d-dd98-491a-9641-eba35a06c659
3;Task7CP;1024;154546;FALSE;b1c5e27d-dd98-491a-9641-eba35a06c659
4;Task4CM;4;219891;FALSE;b1c5e27d-dd98-491a-9641-eba35a06c659
5;Task10CP;7;107876;FALSE;b1c5e27d-dd98-491a-9641-eba35a06c659
6;Task6CM;4;285883;FALSE;b1c5e27d-dd98-491a-9641-eba35a06c659
7;Task3CM;5;165020;FALSE;b1c5e27d-dd98-491a-9641-eba35a06c659
8;Task11CP;4;281857;FALSE;b1c5e27d-dd98-491a-9641-eba35a06c659
9;Task5CM;3;261900;FALSE;b1c5e27d-dd98-491a-9641-eba35a06c659
10;Task2CM;[9, 1];150213;FALSE;b1c5e27d-dd98-491a-9641-eba35a06c659
11;Task1CM;5;134859;FALSE;b1c5e27d-dd98-491a-9641-eba35a06c659
12;Task9CP;[2, 3, 5, 7, 11, 13, 17];141398;FALSE;b1c5e27d-dd98-491a-9641-eba35a06c659
