Number;Task;Answer_Out;Time;TimeOut;SubjectID
0;WarmUp;TRUE;56216;FALSE;cb039d67-cebf-4750-8d66-55e7a5ca9e1b
1;Task7CM;4;242953;FALSE;cb039d67-cebf-4750-8d66-55e7a5ca9e1b
2;Task9CM;[2, 3, 6, 11];305464;TRUE;cb039d67-cebf-4750-8d66-55e7a5ca9e1b
3;Task3CP;13;273551;FALSE;cb039d67-cebf-4750-8d66-55e7a5ca9e1b
4;Task4CP;3;237464;FALSE;cb039d67-cebf-4750-8d66-55e7a5ca9e1b
5;Task5CP;1;220639;FALSE;cb039d67-cebf-4750-8d66-55e7a5ca9e1b
6;Task6CP;6;184520;FALSE;cb039d67-cebf-4750-8d66-55e7a5ca9e1b
7;Task10CM;7;175990;FALSE;cb039d67-cebf-4750-8d66-55e7a5ca9e1b
8;Task1CP;4;264806;FALSE;cb039d67-cebf-4750-8d66-55e7a5ca9e1b
9;Task12CM;TRUE;50530;FALSE;cb039d67-cebf-4750-8d66-55e7a5ca9e1b
10;Task11CM;2;174983;FALSE;cb039d67-cebf-4750-8d66-55e7a5ca9e1b
11;Task2CP;[9, 3];303838;TRUE;cb039d67-cebf-4750-8d66-55e7a5ca9e1b
12;Task8CM;13;233400;FALSE;cb039d67-cebf-4750-8d66-55e7a5ca9e1b
