Number;Task;Answer_Out;Time;TimeOut;SubjectID
0;WarmUp;TRUE;92962;FALSE;dac593bd-1be4-425d-b1c9-3706b5a3f56f
1;Task5CM;3;688230;TRUE;dac593bd-1be4-425d-b1c9-3706b5a3f56f
2;Task7CP;1024;525096;TRUE;dac593bd-1be4-425d-b1c9-3706b5a3f56f
3;Task12CP;TRUE;93165;FALSE;dac593bd-1be4-425d-b1c9-3706b5a3f56f
4;Task9CP;[2, 3, 5, 7, 11, 13, 17];403290;FALSE;dac593bd-1be4-425d-b1c9-3706b5a3f56f
5;Task6CM;4;975695;TRUE;dac593bd-1be4-425d-b1c9-3706b5a3f56f
6;Task8CP;8;307105;FALSE;dac593bd-1be4-425d-b1c9-3706b5a3f56f
7;Task2CM;[9, 1];385191;TRUE;dac593bd-1be4-425d-b1c9-3706b5a3f56f
8;Task10CP;7;312769;FALSE;dac593bd-1be4-425d-b1c9-3706b5a3f56f
9;Task3CM;0;304049;TRUE;dac593bd-1be4-425d-b1c9-3706b5a3f56f
10;Task11CP;1;305475;TRUE;dac593bd-1be4-425d-b1c9-3706b5a3f56f
11;Task4CM;100;291427;FALSE;dac593bd-1be4-425d-b1c9-3706b5a3f56f
12;Task1CM;6;309727;TRUE;dac593bd-1be4-425d-b1c9-3706b5a3f56f
