Number;Task;Answer_Out;Time;TimeOut;SubjectID
0;WarmUp;TRUE;74440;FALSE;dfab1ede-3be6-4858-8d67-0003b2a071a8
1;Task10CM;-1;115860;FALSE;dfab1ede-3be6-4858-8d67-0003b2a071a8
2;Task11CM;1;235008;FALSE;dfab1ede-3be6-4858-8d67-0003b2a071a8
3;Task5CP;3;276865;FALSE;dfab1ede-3be6-4858-8d67-0003b2a071a8
4;Task1CP;5;214752;FALSE;dfab1ede-3be6-4858-8d67-0003b2a071a8
5;Task9CM;[2, 3, 5, 7, 11, 13, 17];295936;FALSE;dfab1ede-3be6-4858-8d67-0003b2a071a8
6;Task7CM;64;278884;FALSE;dfab1ede-3be6-4858-8d67-0003b2a071a8
7;Task4CP;7;270404;FALSE;dfab1ede-3be6-4858-8d67-0003b2a071a8
8;Task2CP;[9, 1, 7, 3];249570;FALSE;dfab1ede-3be6-4858-8d67-0003b2a071a8
9;Task12CM;TRUE;42177;FALSE;dfab1ede-3be6-4858-8d67-0003b2a071a8
10;Task8CM;1;165294;FALSE;dfab1ede-3be6-4858-8d67-0003b2a071a8
11;Task6CP;8;356358;FALSE;dfab1ede-3be6-4858-8d67-0003b2a071a8
12;Task3CP;no idea;313601;TRUE;dfab1ede-3be6-4858-8d67-0003b2a071a8
