Number;Task;Answer_Out;Time;TimeOut;SubjectID
0;WarmUp;FALSE;38302;FALSE;f9ec2bc7-062a-49b5-9a15-8a0d6b5e18de
1;Task7CP;128;207023;FALSE;f9ec2bc7-062a-49b5-9a15-8a0d6b5e18de
2;Task10CP;7;75098;FALSE;f9ec2bc7-062a-49b5-9a15-8a0d6b5e18de
3;Task9CP;[2, 3, 5, 7, 11, 13, 17];156136;FALSE;f9ec2bc7-062a-49b5-9a15-8a0d6b5e18de
4;Task5CM;1;295440;FALSE;f9ec2bc7-062a-49b5-9a15-8a0d6b5e18de
5;Task2CM;[9, 1];122911;FALSE;f9ec2bc7-062a-49b5-9a15-8a0d6b5e18de
6;Task6CM;4;232466;FALSE;f9ec2bc7-062a-49b5-9a15-8a0d6b5e18de
7;Task4CM;5;103385;FALSE;f9ec2bc7-062a-49b5-9a15-8a0d6b5e18de
8;Task8CP;13;114559;FALSE;f9ec2bc7-062a-49b5-9a15-8a0d6b5e18de
9;Task11CP;2;182031;FALSE;f9ec2bc7-062a-49b5-9a15-8a0d6b5e18de
10;Task1CM;5;121053;FALSE;f9ec2bc7-062a-49b5-9a15-8a0d6b5e18de
11;Task12CP;TRUE;31185;FALSE;f9ec2bc7-062a-49b5-9a15-8a0d6b5e18de
12;Task3CM;5;143619;FALSE;f9ec2bc7-062a-49b5-9a15-8a0d6b5e18de
