replicate,block,temp,rh,evap,tray_no,development_time,development_rate
38-30-C-2,1,38,30,C,2,6,0.16666666666666666
38-30-C-2,1,38,30,C,2,6,0.16666666666666666
38-30-C-2,1,38,30,C,2,6,0.16666666666666666
38-30-C-2,1,38,30,C,2,6,0.16666666666666666
38-30-C-2,1,38,30,C,2,6,0.16666666666666666
38-30-C-2,1,38,30,C,2,6,0.16666666666666666
38-30-C-2,1,38,30,C,2,6,0.16666666666666666
38-30-C-2,1,38,30,C,2,6,0.16666666666666666
38-30-C-2,1,38,30,C,2,6,0.16666666666666666
38-30-C-2,1,38,30,C,2,6,0.16666666666666666
38-30-C-2,1,38,30,C,2,6,0.16666666666666666
38-30-C-2,1,38,30,C,2,6,0.16666666666666666
38-30-C-2,1,38,30,C,2,6,0.16666666666666666
38-30-C-2,1,38,30,C,2,6,0.16666666666666666
38-30-C-2,1,38,30,C,2,6,0.16666666666666666
38-30-C-2,1,38,30,C,2,6,0.16666666666666666
38-30-C-2,1,38,30,C,2,6,0.16666666666666666
38-30-C-2,1,38,30,C,2,6,0.16666666666666666
38-30-C-2,1,38,30,C,2,7,0.14285714285714285
38-30-C-2,1,38,30,C,2,7,0.14285714285714285
38-30-C-2,1,38,30,C,2,7,0.14285714285714285
38-30-C-2,1,38,30,C,2,7,0.14285714285714285
38-30-C-2,1,38,30,C,2,7,0.14285714285714285
38-30-C-2,1,38,30,C,2,7,0.14285714285714285
38-30-C-2,1,38,30,C,2,7,0.14285714285714285
38-30-C-2,1,38,30,C,2,7,0.14285714285714285
38-30-C-2,1,38,30,C,2,7,0.14285714285714285
38-30-C-2,1,38,30,C,2,7,0.14285714285714285
38-30-C-2,1,38,30,C,2,7,0.14285714285714285
38-30-C-2,1,38,30,C,2,7,0.14285714285714285
38-30-C-2,1,38,30,C,2,7,0.14285714285714285
38-30-C-2,1,38,30,C,2,7,0.14285714285714285
38-30-C-2,1,38,30,C,2,7,0.14285714285714285
38-30-C-2,1,38,30,C,2,7,0.14285714285714285
38-30-C-2,1,38,30,C,2,7,0.14285714285714285
38-30-C-2,1,38,30,C,2,7,0.14285714285714285
38-30-C-2,1,38,30,C,2,7,0.14285714285714285
38-30-C-2,1,38,30,C,2,7,0.14285714285714285
38-30-C-2,1,38,30,C,2,7,0.14285714285714285
38-30-C-2,1,38,30,C,2,7,0.14285714285714285
38-30-C-2,1,38,30,C,2,7,0.14285714285714285
38-30-C-2,1,38,30,C,2,7,0.14285714285714285
38-30-C-2,1,38,30,C,2,7,0.14285714285714285
38-30-C-2,1,38,30,C,2,7,0.14285714285714285
38-30-C-2,1,38,30,C,2,7,0.14285714285714285
38-30-C-2,1,38,30,C,2,7,0.14285714285714285
38-30-C-2,1,38,30,C,2,7,0.14285714285714285
38-30-C-2,1,38,30,C,2,7,0.14285714285714285
38-30-C-2,1,38,30,C,2,8,0.125
38-30-C-2,1,38,30,C,2,8,0.125
38-30-C-2,1,38,30,C,2,8,0.125
38-30-C-2,1,38,30,C,2,10,0.1
38-30-C-2,1,38,30,C,2,14,0.07142857142857142
38-30-C-2,1,38,30,C,2,14,0.07142857142857142
38-30-C-2,1,38,30,C,2,14,0.07142857142857142
38-30-C-2,1,38,30,C,2,17,0.058823529411764705
38-30-C-2,1,38,30,C,2,17,0.058823529411764705
38-30-C-3,1,38,30,C,3,6,0.16666666666666666
38-30-C-3,1,38,30,C,3,6,0.16666666666666666
38-30-C-3,1,38,30,C,3,6,0.16666666666666666
38-30-C-3,1,38,30,C,3,6,0.16666666666666666
38-30-C-3,1,38,30,C,3,6,0.16666666666666666
38-30-C-3,1,38,30,C,3,6,0.16666666666666666
38-30-C-3,1,38,30,C,3,6,0.16666666666666666
38-30-C-3,1,38,30,C,3,6,0.16666666666666666
38-30-C-3,1,38,30,C,3,6,0.16666666666666666
38-30-C-3,1,38,30,C,3,6,0.16666666666666666
38-30-C-3,1,38,30,C,3,6,0.16666666666666666
38-30-C-3,1,38,30,C,3,6,0.16666666666666666
38-30-C-3,1,38,30,C,3,6,0.16666666666666666
38-30-C-3,1,38,30,C,3,6,0.16666666666666666
38-30-C-3,1,38,30,C,3,6,0.16666666666666666
38-30-C-3,1,38,30,C,3,6,0.16666666666666666
38-30-C-3,1,38,30,C,3,6,0.16666666666666666
38-30-C-3,1,38,30,C,3,6,0.16666666666666666
38-30-C-3,1,38,30,C,3,6,0.16666666666666666
38-30-C-3,1,38,30,C,3,6,0.16666666666666666
38-30-C-3,1,38,30,C,3,6,0.16666666666666666
38-30-C-3,1,38,30,C,3,6,0.16666666666666666
38-30-C-3,1,38,30,C,3,7,0.14285714285714285
38-30-C-3,1,38,30,C,3,7,0.14285714285714285
38-30-C-3,1,38,30,C,3,7,0.14285714285714285
38-30-C-3,1,38,30,C,3,7,0.14285714285714285
38-30-C-3,1,38,30,C,3,7,0.14285714285714285
38-30-C-3,1,38,30,C,3,7,0.14285714285714285
38-30-C-3,1,38,30,C,3,7,0.14285714285714285
38-30-C-3,1,38,30,C,3,7,0.14285714285714285
38-30-C-3,1,38,30,C,3,7,0.14285714285714285
38-30-C-3,1,38,30,C,3,7,0.14285714285714285
38-30-C-3,1,38,30,C,3,7,0.14285714285714285
38-30-C-3,1,38,30,C,3,7,0.14285714285714285
38-30-C-3,1,38,30,C,3,7,0.14285714285714285
38-30-C-3,1,38,30,C,3,7,0.14285714285714285
38-30-C-3,1,38,30,C,3,7,0.14285714285714285
38-30-C-3,1,38,30,C,3,7,0.14285714285714285
38-30-C-3,1,38,30,C,3,7,0.14285714285714285
38-30-C-3,1,38,30,C,3,7,0.14285714285714285
38-30-C-3,1,38,30,C,3,7,0.14285714285714285
38-30-C-3,1,38,30,C,3,7,0.14285714285714285
38-30-C-3,1,38,30,C,3,7,0.14285714285714285
38-30-C-3,1,38,30,C,3,7,0.14285714285714285
38-30-C-3,1,38,30,C,3,7,0.14285714285714285
38-30-C-3,1,38,30,C,3,7,0.14285714285714285
38-30-C-3,1,38,30,C,3,7,0.14285714285714285
38-30-C-3,1,38,30,C,3,7,0.14285714285714285
38-30-C-3,1,38,30,C,3,7,0.14285714285714285
38-30-C-3,1,38,30,C,3,7,0.14285714285714285
38-30-C-3,1,38,30,C,3,7,0.14285714285714285
38-30-C-3,1,38,30,C,3,7,0.14285714285714285
38-30-C-3,1,38,30,C,3,7,0.14285714285714285
38-30-C-3,1,38,30,C,3,7,0.14285714285714285
38-30-C-3,1,38,30,C,3,7,0.14285714285714285
38-30-C-3,1,38,30,C,3,7,0.14285714285714285
38-30-C-3,1,38,30,C,3,7,0.14285714285714285
38-30-C-3,1,38,30,C,3,7,0.14285714285714285
38-30-C-3,1,38,30,C,3,7,0.14285714285714285
38-30-C-3,1,38,30,C,3,7,0.14285714285714285
38-30-C-3,1,38,30,C,3,7,0.14285714285714285
38-30-C-3,1,38,30,C,3,7,0.14285714285714285
38-30-C-3,1,38,30,C,3,7,0.14285714285714285
38-30-C-3,1,38,30,C,3,7,0.14285714285714285
38-30-C-3,1,38,30,C,3,7,0.14285714285714285
38-30-C-3,1,38,30,C,3,7,0.14285714285714285
38-30-C-3,1,38,30,C,3,7,0.14285714285714285
38-30-C-3,1,38,30,C,3,7,0.14285714285714285
38-30-C-3,1,38,30,C,3,7,0.14285714285714285
38-30-C-3,1,38,30,C,3,7,0.14285714285714285
38-30-C-3,1,38,30,C,3,8,0.125
38-30-C-3,1,38,30,C,3,8,0.125
38-30-C-3,1,38,30,C,3,9,0.1111111111111111
38-30-C-4,1,38,30,C,4,6,0.16666666666666666
38-30-C-4,1,38,30,C,4,6,0.16666666666666666
38-30-C-4,1,38,30,C,4,6,0.16666666666666666
38-30-C-4,1,38,30,C,4,6,0.16666666666666666
38-30-C-4,1,38,30,C,4,6,0.16666666666666666
38-30-C-4,1,38,30,C,4,6,0.16666666666666666
38-30-C-4,1,38,30,C,4,6,0.16666666666666666
38-30-C-4,1,38,30,C,4,6,0.16666666666666666
38-30-C-4,1,38,30,C,4,6,0.16666666666666666
38-30-C-4,1,38,30,C,4,6,0.16666666666666666
38-30-C-4,1,38,30,C,4,6,0.16666666666666666
38-30-C-4,1,38,30,C,4,6,0.16666666666666666
38-30-C-4,1,38,30,C,4,6,0.16666666666666666
38-30-C-4,1,38,30,C,4,6,0.16666666666666666
38-30-C-4,1,38,30,C,4,6,0.16666666666666666
38-30-C-4,1,38,30,C,4,6,0.16666666666666666
38-30-C-4,1,38,30,C,4,6,0.16666666666666666
38-30-C-4,1,38,30,C,4,6,0.16666666666666666
38-30-C-4,1,38,30,C,4,6,0.16666666666666666
38-30-C-4,1,38,30,C,4,6,0.16666666666666666
38-30-C-4,1,38,30,C,4,6,0.16666666666666666
38-30-C-4,1,38,30,C,4,6,0.16666666666666666
38-30-C-4,1,38,30,C,4,6,0.16666666666666666
38-30-C-4,1,38,30,C,4,6,0.16666666666666666
38-30-C-4,1,38,30,C,4,6,0.16666666666666666
38-30-C-4,1,38,30,C,4,6,0.16666666666666666
38-30-C-4,1,38,30,C,4,6,0.16666666666666666
38-30-C-4,1,38,30,C,4,6,0.16666666666666666
38-30-C-4,1,38,30,C,4,6,0.16666666666666666
38-30-C-4,1,38,30,C,4,6,0.16666666666666666
38-30-C-4,1,38,30,C,4,6,0.16666666666666666
38-30-C-4,1,38,30,C,4,6,0.16666666666666666
38-30-C-4,1,38,30,C,4,6,0.16666666666666666
38-30-C-4,1,38,30,C,4,6,0.16666666666666666
38-30-C-4,1,38,30,C,4,6,0.16666666666666666
38-30-C-4,1,38,30,C,4,6,0.16666666666666666
38-30-C-4,1,38,30,C,4,6,0.16666666666666666
38-30-C-4,1,38,30,C,4,6,0.16666666666666666
38-30-C-4,1,38,30,C,4,6,0.16666666666666666
38-30-C-4,1,38,30,C,4,6,0.16666666666666666
38-30-C-4,1,38,30,C,4,6,0.16666666666666666
38-30-C-4,1,38,30,C,4,6,0.16666666666666666
38-30-C-4,1,38,30,C,4,7,0.14285714285714285
38-30-C-4,1,38,30,C,4,7,0.14285714285714285
38-30-C-4,1,38,30,C,4,7,0.14285714285714285
38-30-C-4,1,38,30,C,4,7,0.14285714285714285
38-30-C-4,1,38,30,C,4,7,0.14285714285714285
38-30-C-4,1,38,30,C,4,7,0.14285714285714285
38-30-C-4,1,38,30,C,4,7,0.14285714285714285
38-30-C-4,1,38,30,C,4,7,0.14285714285714285
38-30-C-4,1,38,30,C,4,7,0.14285714285714285
38-30-C-4,1,38,30,C,4,7,0.14285714285714285
38-30-C-4,1,38,30,C,4,7,0.14285714285714285
38-30-C-4,1,38,30,C,4,7,0.14285714285714285
38-30-C-4,1,38,30,C,4,7,0.14285714285714285
38-30-C-4,1,38,30,C,4,7,0.14285714285714285
38-30-C-4,1,38,30,C,4,7,0.14285714285714285
38-30-C-4,1,38,30,C,4,7,0.14285714285714285
38-30-C-4,1,38,30,C,4,7,0.14285714285714285
38-30-C-4,1,38,30,C,4,7,0.14285714285714285
38-30-C-4,1,38,30,C,4,7,0.14285714285714285
38-30-C-4,1,38,30,C,4,7,0.14285714285714285
38-30-C-4,1,38,30,C,4,7,0.14285714285714285
38-30-C-4,1,38,30,C,4,7,0.14285714285714285
38-30-C-4,1,38,30,C,4,7,0.14285714285714285
38-30-C-4,1,38,30,C,4,7,0.14285714285714285
38-30-C-4,1,38,30,C,4,7,0.14285714285714285
38-30-C-4,1,38,30,C,4,7,0.14285714285714285
38-30-C-4,1,38,30,C,4,7,0.14285714285714285
38-30-C-4,1,38,30,C,4,8,0.125
38-30-C-4,1,38,30,C,4,8,0.125
38-30-C-4,1,38,30,C,4,8,0.125
38-30-C-4,1,38,30,C,4,8,0.125
38-30-C-4,1,38,30,C,4,8,0.125
38-30-C-4,1,38,30,C,4,8,0.125
38-30-C-4,1,38,30,C,4,8,0.125
35-75-C-2,1,35,75,C,2,6,0.16666666666666666
35-75-C-2,1,35,75,C,2,6,0.16666666666666666
35-75-C-2,1,35,75,C,2,6,0.16666666666666666
35-75-C-2,1,35,75,C,2,6,0.16666666666666666
35-75-C-2,1,35,75,C,2,6,0.16666666666666666
35-75-C-2,1,35,75,C,2,6,0.16666666666666666
35-75-C-2,1,35,75,C,2,6,0.16666666666666666
35-75-C-2,1,35,75,C,2,6,0.16666666666666666
35-75-C-2,1,35,75,C,2,6,0.16666666666666666
35-75-C-2,1,35,75,C,2,6,0.16666666666666666
35-75-C-2,1,35,75,C,2,6,0.16666666666666666
35-75-C-2,1,35,75,C,2,6,0.16666666666666666
35-75-C-2,1,35,75,C,2,7,0.14285714285714285
35-75-C-2,1,35,75,C,2,7,0.14285714285714285
35-75-C-2,1,35,75,C,2,7,0.14285714285714285
35-75-C-2,1,35,75,C,2,7,0.14285714285714285
35-75-C-2,1,35,75,C,2,7,0.14285714285714285
