replicate,block,temp,rh,evap,tray_no,n_survivors
38-30-C-2,1,38,30,C,2,57
38-30-C-3,1,38,30,C,3,73
38-30-C-4,1,38,30,C,4,76
38-30-E-2,1,38,30,E,2,0
38-30-E-3,1,38,30,E,3,0
38-30-E-4,1,38,30,E,4,0
35-75-C-2,1,35,75,C,2,87
35-75-C-3,1,35,75,C,3,82
35-75-C-4,1,35,75,C,4,80
35-75-E-2,1,35,75,E,2,95
35-75-E-3,1,35,75,E,3,75
35-75-E-4,1,35,75,E,4,78
32-45-C-2,1,32,45,C,2,85
32-45-C-3,1,32,45,C,3,79
32-45-C-4,1,32,45,C,4,67
32-45-E-2,1,32,45,E,2,0
32-45-E-3,1,32,45,E,3,0
32-45-E-4,1,32,45,E,4,0
28-45-C-2,1,28,45,C,2,70
28-45-C-3,1,28,45,C,3,71
28-45-C-4,1,28,45,C,4,84
28-45-E-2,1,28,45,E,2,0
28-45-E-3,1,28,45,E,3,0
28-45-E-4,1,28,45,E,4,0
24-60-C-2,1,24,60,C,2,55
24-60-C-3,1,24,60,C,3,99
24-60-C-4,1,24,60,C,4,92
24-60-E-2,1,24,60,E,2,0
24-60-E-3,1,24,60,E,3,0
24-60-E-4,1,24,60,E,4,0
20-60-C-2,1,20,60,C,2,42
20-60-C-3,1,20,60,C,3,52
20-60-C-4,1,20,60,C,4,37
20-60-E-2,1,20,60,E,2,0
20-60-E-3,1,20,60,E,3,0
20-60-E-4,1,20,60,E,4,0
16-60-C-2,1,16,60,C,2,0
16-60-C-3,1,16,60,C,3,0
16-60-C-4,1,16,60,C,4,0
16-60-E-2,1,16,60,E,2,0
16-60-E-3,1,16,60,E,3,0
16-60-E-4,1,16,60,E,4,0
38-90-C-1,2,38,90,C,1,0
38-90-C-2,2,38,90,C,2,0
38-90-C-3,2,38,90,C,3,0
38-90-E-1,2,38,90,E,1,0
38-90-E-2,2,38,90,E,2,0
38-90-E-3,2,38,90,E,3,0
35-60-C-1,2,35,60,C,1,72
35-60-C-2,2,35,60,C,2,65
35-60-C-3,2,35,60,C,3,72
35-60-E-1,2,35,60,E,1,80
35-60-E-2,2,35,60,E,2,75
35-60-E-3,2,35,60,E,3,46
32-75-C-1,2,32,75,C,1,95
32-75-C-2,2,32,75,C,2,90
32-75-C-3,2,32,75,C,3,81
32-75-E-1,2,32,75,E,1,84
32-75-E-2,2,32,75,E,2,75
32-75-E-3,2,32,75,E,3,86
28-60-C-1,2,28,60,C,1,74
28-60-C-2,2,28,60,C,2,65
28-60-C-3,2,28,60,C,3,80
28-60-E-1,2,28,60,E,1,0
28-60-E-2,2,28,60,E,2,0
28-60-E-3,2,28,60,E,3,0
24-45-C-1,2,24,45,C,1,81
24-45-C-2,2,24,45,C,2,78
24-45-C-3,2,24,45,C,3,40
24-45-E-1,2,24,45,E,1,0
24-45-E-2,2,24,45,E,2,0
24-45-E-3,2,24,45,E,3,0
20-30-C-1,2,20,30,C,1,14
20-30-C-2,2,20,30,C,2,9
20-30-C-3,2,20,30,C,3,26
20-30-E-1,2,20,30,E,1,0
20-30-E-2,2,20,30,E,2,0
20-30-E-3,2,20,30,E,3,0
16-90-C-1,2,16,90,C,1,6
16-90-C-2,2,16,90,C,2,36
16-90-C-3,2,16,90,C,3,50
16-90-E-1,2,16,90,E,1,42
16-90-E-2,2,16,90,E,2,32
16-90-E-3,2,16,90,E,3,44
38-90-C-4,2,38,90,C,4,0
38-90-C-5,2,38,90,C,5,0
38-90-C-6,2,38,90,C,6,0
38-90-C-7,2,38,90,C,7,0
38-90-C-8,2,38,90,C,8,0
38-90-C-9,2,38,90,C,9,0
38-90-E-1,2,38,90,E,4,0
38-90-E-2,2,38,90,E,5,0
38-90-E-3,2,38,90,E,6,0
38-60-C-1,3,38,60,C,1,63
38-60-C-2,3,38,60,C,2,55
38-60-C-3,3,38,60,C,3,41
38-60-E-1,3,38,60,E,1,0
38-60-E-2,3,38,60,E,2,0
38-60-E-3,3,38,60,E,3,0
35-30-C-1,3,35,30,C,1,64
35-30-C-2,3,35,30,C,2,87
35-30-C-3,3,35,30,C,3,83
35-30-E-1,3,35,30,E,1,0
35-30-E-2,3,35,30,E,2,0
35-30-E-3,3,35,30,E,3,0
32-90-C-1,3,32,90,C,1,84
32-90-C-2,3,32,90,C,2,83
32-90-C-3,3,32,90,C,3,84
32-90-E-1,3,32,90,E,1,93
32-90-E-2,3,32,90,E,2,89
32-90-E-3,3,32,90,E,3,91
28-75-C-1,3,28,75,C,1,85
28-75-C-2,3,28,75,C,2,85
28-75-C-3,3,28,75,C,3,87
