"Day","Date","Temperature","RH","Evaporation","Block","Tray","Pupae_count","Adult_count","Water_added(ml)","Dead","Exp.Day"
0,2021-12-06,41,60,"C",1,1,"0","0","0",NA,0
0,2021-12-06,41,60,"C",1,2,"0","0","0",NA,0
0,2021-12-06,41,60,"C",1,3,"0","0","0",NA,0
0,2021-12-06,41,60,"E",1,1,"0","0","0",NA,0
0,2021-12-06,41,60,"E",1,2,"0","0","0",NA,0
0,2021-12-06,41,60,"E",1,3,"0","0","0",NA,0
0,2021-12-06,38,30,"C",1,2,"0","0","0",NA,0
0,2021-12-06,38,30,"C",1,3,"0","0","0",NA,0
0,2021-12-06,38,30,"C",1,4,"0","0","0",NA,0
0,2021-12-06,38,30,"E",1,2,"0","0","0",NA,0
0,2021-12-06,38,30,"E",1,3,"0","0","0",NA,0
0,2021-12-06,38,30,"E",1,4,"0","0","0",NA,0
0,2021-12-06,35,75,"C",1,2,"0","0","0",NA,0
0,2021-12-06,35,75,"C",1,3,"0","0","0",NA,0
0,2021-12-06,35,75,"C",1,4,"0","0","0",NA,0
0,2021-12-06,35,75,"E",1,2,"0","0","0",NA,0
0,2021-12-06,35,75,"E",1,3,"0","0","0",NA,0
0,2021-12-06,35,75,"E",1,4,"0","0","0",NA,0
0,2021-12-06,32,45,"C",1,2,"0","0","0",NA,0
0,2021-12-06,32,45,"C",1,3,"0","0","0",NA,0
0,2021-12-06,32,45,"C",1,4,"0","0","0",NA,0
0,2021-12-06,32,45,"E",1,2,"0","0","0",NA,0
0,2021-12-06,32,45,"E",1,3,"0","0","0",NA,0
0,2021-12-06,32,45,"E",1,4,"0","0","0",NA,0
0,2021-12-06,28,45,"C",1,2,"0","0","0",NA,0
0,2021-12-06,28,45,"C",1,3,"0","0","0",NA,0
0,2021-12-06,28,45,"C",1,4,"0","0","0",NA,0
0,2021-12-06,28,45,"E",1,2,"0","0","0",NA,0
0,2021-12-06,28,45,"E",1,3,"0","0","0",NA,0
0,2021-12-06,28,45,"E",1,4,"0","0","0",NA,0
0,2021-12-06,24,60,"C",1,2,"0","0","0",NA,0
0,2021-12-06,24,60,"C",1,3,"0","0","0",NA,0
0,2021-12-06,24,60,"C",1,4,"0","0","0",NA,0
0,2021-12-06,24,60,"E",1,2,"0","0","0",NA,0
0,2021-12-06,24,60,"E",1,3,"0","0","0",NA,0
0,2021-12-06,24,60,"E",1,4,"0","0","0",NA,0
0,2021-12-06,20,60,"C",1,2,"0","0","0",NA,0
0,2021-12-06,20,60,"C",1,3,"0","0","0",NA,0
0,2021-12-06,20,60,"C",1,4,"0","0","0",NA,0
0,2021-12-06,20,60,"E",1,2,"0","0","0",NA,0
0,2021-12-06,20,60,"E",1,3,"0","0","0",NA,0
0,2021-12-06,20,60,"E",1,4,"0","0","0",NA,0
0,2021-12-06,16,60,"C",1,2,"0","0","0",NA,0
0,2021-12-06,16,60,"C",1,3,"0","0","0",NA,0
0,2021-12-06,16,60,"C",1,4,"0","0","0",NA,0
0,2021-12-06,16,60,"E",1,2,"0","0","0",NA,0
0,2021-12-06,16,60,"E",1,3,"0","0","0",NA,0
0,2021-12-06,16,60,"E",1,4,"0","0","0",NA,0
1,2021-12-07,38,30,"C",1,2,"0","0","300",NA,1
1,2021-12-07,38,30,"C",1,3,"0","0","200",NA,1
1,2021-12-07,38,30,"C",1,4,"0","0","250",NA,1
1,2021-12-07,38,30,"E",1,2,"0","0","0",NA,1
1,2021-12-07,38,30,"E",1,3,"0","0","0",NA,1
1,2021-12-07,38,30,"E",1,4,"0","0","0",NA,1
1,2021-12-07,35,75,"C",1,2,"0","0","100",NA,1
1,2021-12-07,35,75,"C",1,3,"0","0","100",NA,1
1,2021-12-07,35,75,"C",1,4,"0","0","100",NA,1
1,2021-12-07,35,75,"E",1,2,"0","0","0",NA,1
1,2021-12-07,35,75,"E",1,3,"0","0","0",NA,1
1,2021-12-07,35,75,"E",1,4,"0","0","0",NA,1
1,2021-12-07,32,45,"C",1,2,"0","0","200",NA,1
1,2021-12-07,32,45,"C",1,3,"0","0","150",NA,1
1,2021-12-07,32,45,"C",1,4,"0","0","175",NA,1
1,2021-12-07,32,45,"E",1,2,"0","0","0",NA,1
1,2021-12-07,32,45,"E",1,3,"0","0","0",NA,1
1,2021-12-07,32,45,"E",1,4,"0","0","0",NA,1
1,2021-12-07,28,45,"C",1,2,"0","0","200",NA,1
1,2021-12-07,28,45,"C",1,3,"0","0","100",NA,1
1,2021-12-07,28,45,"C",1,4,"0","0","150",NA,1
1,2021-12-07,28,45,"E",1,2,"0","0","0",NA,1
