CIRCUIT,DISTRICT,OFFICE,DOCKET,ORIGIN,FILEDATE,FDATEUSE,JURIS,NOS,TITL,SECTION,SUBSECT,RESIDENC,JURY,CLASSACT,DEMANDED,FILEJUDG,FILEMAG,COUNTY,ARBIT,MDLDOCK,PLT,DEF,TRANSDAT,TRANSOFF,TRANSDOC,TRANSORG,TERMDATE,TDATEUSE,TRCLACT,TERMJUDG,TERMMAG,PROCPROG,DISP,NOJ,AMTREC,JUDGMENT,DJOINED,PRETRIAL,TRIBEGAN,TRIALEND,TRMARB,PROSE,IFP,STATUSCD,TAPEYEAR,yr_term,yr_file,new,CASENAME,MAGISINV,OTHERINV,fjc_ID,CDD_ID,cases_tot_yr,cases_tot_typ_yr,cases_pct_tot_yr,cases_tot_yr_term,NOS_t,DISP_t,DEF_typ_old,PLT_typ_old,PLT_typ,DEF_typ
0,90,1,8801985,1,1988-07-19,1988-07-01,US govt defendant,893,NA,2201,-8,-8,-8,-8,0,NA,NA,11001,-8,-8,"ENVIRON. DEF. FUND, ET AL","VERITY, ET AL",NA,-8,-8,-8,1988-12-15,1988-12-01,-8,NA,NA,1,13,-8,0,-8,NA,NA,NA,NA,-8,-8,NA,NA,1989,1988,1988,1,NA,NA,NA,0-90-8801985-1988-07-19-1,0-90-8801985,236046,868,0.368,237990,ENVIRONMENTAL MATTERS,Settled,FED,NGO,NGO,IND
4,20,2,8802469,1,1988-09-22,1988-09-01,US govt plaintiff,893,NA,-8,-8,-8,-8,-8,-8,NA,NA,45043,-8,-8,U. S.,HAGLEY COMPANY,10/25/1988,2,8802469,1,1988-10-12,1988-10-01,-8,NA,NA,1,13,-8,-8,-8,NA,NA,NA,NA,-8,-8,NA,NA,1989,1988,1988,1,NA,NA,NA,4-20-8802469-1988-09-22-1,4-20-8802469,236046,868,0.368,237990,ENVIRONMENTAL MATTERS,Settled,BIZ,FED,FED,BIZ
6,43,5,8800091,1,1988-03-21,1988-03-01,US govt plaintiff,893,NA,-8,-8,-8,-8,-8,-8,NA,NA,21079,-8,-8,USA,LANCASTER KY CITY,NA,-8,-8,-8,1988-08-01,1988-08-01,-8,NA,NA,3,5,3,-8,1,04/11/1988,NA,NA,NA,-8,-8,NA,NA,1989,1988,1988,1,NA,NA,NA,6-43-8800091-1988-03-21-1,6-43-8800091,236046,868,0.368,237990,ENVIRONMENTAL MATTERS,Settled (Consent Judgement),LOC,FED,FED,LOC
6,49,3,8800513,1,1988-06-30,1988-06-01,US govt plaintiff,893,NA,-8,-8,-8,-8,-8,-8,NA,NA,47013,-8,-8,USA,ROBBINS,NA,-8,-8,-8,1989-02-28,1989-02-01,-8,NA,NA,2,4,0,-8,1,NA,NA,NA,NA,-8,-8,NA,NA,1989,1989,1988,1,NA,NA,NA,6-49-8800513-1988-06-30-1,6-49-8800513,236046,868,0.368,222214,ENVIRONMENTAL MATTERS,Judgement Issued,Unknown,FED,FED,IND
7,52,1,8806158,1,1988-07-19,1988-07-01,US govt plaintiff,893,NA,-8,-8,-8,-8,-8,-8,NA,NA,17043,-8,-8,US,"CITY OF W.CHICAGO,ILLINOIS",NA,-8,-8,-8,1988-11-02,1988-11-01,-8,NA,NA,2,5,0,-8,3,NA,NA,NA,NA,-8,-8,NA,NA,1989,1988,1988,1,NA,NA,NA,7-52-8806158-1988-07-19-1,7-52-8806158,236046,868,0.368,237990,ENVIRONMENTAL MATTERS,Settled (Consent Judgement),LOC,FED,FED,LOC
9,74,3,8800646,2,1988-05-02,1988-05-01,US govt defendant,893,NA,1441,-8,-8,-8,-8,-8,NA,NA,06073,-8,-8,ROGER F. WINCHESTER,"COUNTY OF SAN DIEGO, STATE",NA,-8,-8,-8,1988-12-07,1988-12-01,-8,NA,NA,4,6,0,-8,2,NA,NA,NA,NA,-8,-8,NA,NA,1989,1988,1988,1,NA,NA,NA,9-74-8800646-1988-05-02-1,9-74-8800646,236046,868,0.368,237990,ENVIRONMENTAL MATTERS,Judgement Issued,FED,BIZ,BIZ,LOC
10,82,1,8800223,1,1988-02-10,1988-02-01,US govt plaintiff,893,NA,-8,-8,-8,-8,-8,-8,NA,NA,08031,-8,-8,USA,MENTOR CORP.,NA,-8,-8,-8,1988-08-19,1988-08-01,-8,NA,NA,12,13,-8,-8,-8,NA,NA,NA,NA,-8,-8,NA,NA,1989,1988,1988,1,NA,NA,NA,10-82-8800223-1988-02-10-1,10-82-8800223,236046,868,0.368,237990,ENVIRONMENTAL MATTERS,Settled,BIZ,FED,FED,BIZ
10,89,2,8900093,1,1989-04-12,1989-04-01,US govt defendant,893,NA,-8,-8,-8,-8,-8,-8,NA,NA,88888,-8,-8,TEXACO REFINING&MKG INC,US ETAL,NA,-8,-8,-8,1989-04-21,1989-04-01,-8,NA,NA,1,12,-8,-8,-8,NA,NA,NA,NA,-8,-8,NA,NA,1989,1989,1989,1,NA,NA,NA,10-89-8900093-1989-04-12-1,10-89-8900093,225307,1001,0.444,222214,ENVIRONMENTAL MATTERS,Dismissed Voluntarily,FED,BIZ,BIZ,FED
11,26,2,8801151,1,1988-07-12,1988-07-01,US govt plaintiff,893,NA,-8,-8,-8,-8,-8,-8,NA,NA,01073,-8,-8,US,MINERAL SPRINGS,NA,-8,-8,-8,1988-09-30,1988-09-01,-8,NA,NA,12,4,0,-8,1,NA,NA,NA,NA,-8,-8,NA,NA,1989,1988,1988,1,NA,NA,NA,11-26-8801151-1988-07-12-1,11-26-8801151,236046,868,0.368,237990,ENVIRONMENTAL MATTERS,Judgement Issued,Unknown,FED,FED,BIZ
1,03,1,8800496,1,1988-08-17,1988-08-01,federal question,893,NA,-8,-8,-8,-8,-8,-8,NA,NA,00000,-8,-8,USA ETL,RIGCO INDUS INC,NA,-8,-8,-8,1990-01-10,1990-01-01,-8,NA,NA,5,5,0,-8,1,NA,NA,NA,NA,-8,-8,NA,NA,1990,1990,1988,1,NA,NA,NA,1-03-8800496-1988-08-17-1,1-03-8800496,236046,868,0.368,213646,ENVIRONMENTAL MATTERS,Settled (Consent Judgement),FED,FED,FED,BIZ
